Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-2.434021E-4	2.434021E-4
2	 	-9.900000E-1	-2.372897E-4	2.396866E-4
3	 	-9.800000E-1	-2.304037E-4	2.351058E-4
4	 	-9.700000E-1	-2.232994E-4	2.302056E-4
5	 	-9.600000E-1	-2.158442E-4	2.248377E-4
6	 	-9.500000E-1	-2.083557E-4	2.193218E-4
7	 	-9.400000E-1	-2.007578E-4	2.135721E-4
8	 	-9.300000E-1	-1.930099E-4	2.075375E-4
9	 	-9.200000E-1	-1.853918E-4	2.015128E-4
10	 	-9.100000E-1	-1.775890E-4	1.951527E-4
11	 	-9.000000E-1	-1.699454E-4	1.888282E-4
12	 	-8.900000E-1	-1.626656E-4	1.827703E-4
13	 	-8.800000E-1	-1.551647E-4	1.763235E-4
14	 	-8.700000E-1	-1.485709E-4	1.707711E-4
15	 	-8.600000E-1	-1.414254E-4	1.644481E-4
16	 	-8.500000E-1	-1.343467E-4	1.580549E-4
17	 	-8.400000E-1	-1.277697E-4	1.521068E-4
18	 	-8.300000E-1	-1.213102E-4	1.461569E-4
19	 	-8.200000E-1	-1.152188E-4	1.405107E-4
20	 	-8.100000E-1	-1.093619E-4	1.350147E-4
21	 	-8.000000E-1	-1.039147E-4	1.298934E-4
22	 	-7.900000E-1	-9.865978E-5	1.248858E-4
23	 	-7.800000E-1	-9.362280E-5	1.200292E-4
24	 	-7.700000E-1	-8.892456E-5	1.154864E-4
25	 	-7.600000E-1	-8.443961E-5	1.111048E-4
26	 	-7.500000E-1	-8.036483E-5	1.071531E-4
27	 	-7.400000E-1	-7.669571E-5	1.036429E-4
28	 	-7.300000E-1	-7.313529E-5	1.001853E-4
29	 	-7.200000E-1	-6.950407E-5	9.653343E-5
30	 	-7.100000E-1	-6.630764E-5	9.339104E-5
31	 	-7.000000E-1	-6.334555E-5	9.049364E-5
32	 	-6.900000E-1	-6.066814E-5	8.792484E-5
33	 	-6.800000E-1	-5.862221E-5	8.620913E-5
34	 	-6.700000E-1	-5.652211E-5	8.436136E-5
35	 	-6.600000E-1	-5.472309E-5	8.291377E-5
36	 	-6.500000E-1	-5.312074E-5	8.172422E-5
37	 	-6.400000E-1	-5.219613E-5	8.155645E-5
38	 	-6.300000E-1	-5.152677E-5	8.178852E-5
39	 	-6.200000E-1	-5.099127E-5	8.224398E-5
40	 	-6.100000E-1	-5.007088E-5	8.208341E-5
41	 	-6.000000E-1	-4.891190E-5	8.151983E-5
42	 	-5.900000E-1	-4.705442E-5	7.975325E-5
43	 	-5.800000E-1	-4.500438E-5	7.759376E-5
44	 	-5.700000E-1	-4.266153E-5	7.484479E-5
45	 	-5.600000E-1	-4.010955E-5	7.162420E-5
46	 	-5.500000E-1	-3.765376E-5	6.846138E-5
47	 	-5.400000E-1	-3.521048E-5	6.520459E-5
48	 	-5.300000E-1	-3.276723E-5	6.182496E-5
49	 	-5.200000E-1	-3.045786E-5	5.857281E-5
50	 	-5.100000E-1	-2.835349E-5	5.559508E-5
51	 	-5.000000E-1	-2.637460E-5	5.274920E-5
52	 	-4.900000E-1	-2.442083E-5	4.983843E-5
53	 	-4.800000E-1	-2.283099E-5	4.756456E-5
54	 	-4.700000E-1	-2.086470E-5	4.439298E-5
55	 	-4.600000E-1	-1.937114E-5	4.211117E-5
56	 	-4.500000E-1	-1.764749E-5	3.921664E-5
57	 	-4.400000E-1	-1.605350E-5	3.648523E-5
58	 	-4.300000E-1	-1.473144E-5	3.425916E-5
59	 	-4.200000E-1	-1.308726E-5	3.116014E-5
60	 	-4.100000E-1	-1.160206E-5	2.829771E-5
61	 	-4.000000E-1	-9.895137E-6	2.473784E-5
62	 	-3.900000E-1	-8.037603E-6	2.060924E-5
63	 	-3.800000E-1	-6.104743E-6	1.606511E-5
64	 	-3.700000E-1	-4.058937E-6	1.097010E-5
65	 	-3.600000E-1	-1.787206E-6	4.964461E-6
66	 	-3.500000E-1	3.588965E-7	-1.025419E-6
67	 	-3.400000E-1	2.655570E-6	-7.810500E-6
