Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-3.697492E-4	3.697492E-4
2	 	-9.900000E-1	-3.551351E-4	3.587223E-4
3	 	-9.800000E-1	-3.400152E-4	3.469543E-4
4	 	-9.700000E-1	-3.254919E-4	3.355587E-4
5	 	-9.600000E-1	-3.114469E-4	3.244239E-4
6	 	-9.500000E-1	-2.982714E-4	3.139699E-4
7	 	-9.400000E-1	-2.857361E-4	3.039746E-4
8	 	-9.300000E-1	-2.739957E-4	2.946190E-4
9	 	-9.200000E-1	-2.633603E-4	2.862612E-4
10	 	-9.100000E-1	-2.536451E-4	2.787309E-4
11	 	-9.000000E-1	-2.443901E-4	2.715446E-4
12	 	-8.900000E-1	-2.362566E-4	2.654569E-4
13	 	-8.800000E-1	-2.285870E-4	2.597580E-4
14	 	-8.700000E-1	-2.216333E-4	2.547509E-4
15	 	-8.600000E-1	-2.149307E-4	2.499194E-4
16	 	-8.500000E-1	-2.088265E-4	2.456782E-4
17	 	-8.400000E-1	-2.028434E-4	2.414802E-4
18	 	-8.300000E-1	-1.973331E-4	2.377507E-4
19	 	-8.200000E-1	-1.919066E-4	2.340324E-4
20	 	-8.100000E-1	-1.868064E-4	2.306252E-4
21	 	-8.000000E-1	-1.820075E-4	2.275094E-4
22	 	-7.900000E-1	-1.771245E-4	2.242082E-4
23	 	-7.800000E-1	-1.723507E-4	2.209624E-4
24	 	-7.700000E-1	-1.675263E-4	2.175666E-4
25	 	-7.600000E-1	-1.626229E-4	2.139775E-4
26	 	-7.500000E-1	-1.574556E-4	2.099408E-4
27	 	-7.400000E-1	-1.525018E-4	2.060835E-4
28	 	-7.300000E-1	-1.475146E-4	2.020748E-4
29	 	-7.200000E-1	-1.424104E-4	1.977922E-4
30	 	-7.100000E-1	-1.372764E-4	1.933470E-4
31	 	-7.000000E-1	-1.318791E-4	1.883987E-4
32	 	-6.900000E-1	-1.267495E-4	1.836949E-4
33	 	-6.800000E-1	-1.212267E-4	1.782746E-4
34	 	-6.700000E-1	-1.159091E-4	1.729987E-4
35	 	-6.600000E-1	-1.104238E-4	1.673088E-4
36	 	-6.500000E-1	-1.050517E-4	1.616180E-4
37	 	-6.400000E-1	-9.970857E-5	1.557946E-4
38	 	-6.300000E-1	-9.432389E-5	1.497205E-4
39	 	-6.200000E-1	-8.933654E-5	1.440912E-4
40	 	-6.100000E-1	-8.413183E-5	1.379210E-4
41	 	-6.000000E-1	-7.925733E-5	1.320956E-4
42	 	-5.900000E-1	-7.427847E-5	1.258957E-4
43	 	-5.800000E-1	-6.968027E-5	1.201384E-4
44	 	-5.700000E-1	-6.501941E-5	1.140691E-4
45	 	-5.600000E-1	-6.053839E-5	1.081043E-4
46	 	-5.500000E-1	-5.627076E-5	1.023105E-4
47	 	-5.400000E-1	-5.220814E-5	9.668174E-5
48	 	-5.300000E-1	-4.809535E-5	9.074594E-5
49	 	-5.200000E-1	-4.428375E-5	8.516106E-5
50	 	-5.100000E-1	-4.069389E-5	7.979194E-5
51	 	-5.000000E-1	-3.721701E-5	7.443402E-5
52	 	-4.900000E-1	-3.398285E-5	6.935276E-5
53	 	-4.800000E-1	-3.086991E-5	6.431231E-5
54	 	-4.700000E-1	-2.795371E-5	5.947598E-5
55	 	-4.600000E-1	-2.530108E-5	5.500235E-5
56	 	-4.500000E-1	-2.277818E-5	5.061818E-5
57	 	-4.400000E-1	-2.027615E-5	4.608216E-5
58	 	-4.300000E-1	-1.808376E-5	4.205526E-5
59	 	-4.200000E-1	-1.592067E-5	3.790636E-5
60	 	-4.100000E-1	-1.377011E-5	3.358563E-5
61	 	-4.000000E-1	-1.150659E-5	2.876648E-5
62	 	-3.900000E-1	-9.063144E-6	2.323883E-5
63	 	-3.800000E-1	-6.209690E-6	1.634129E-5
64	 	-3.700000E-1	-3.239076E-6	8.754259E-6
65	 	-3.600000E-1	2.669731E-7	-7.415919E-7
66	 	-3.500000E-1	3.894215E-6	-1.112633E-5
67	 	-3.400000E-1	7.646959E-6	-2.249106E-5
68	 	-3.300000E-1	1.143319E-5	-3.464603E-5
69	 	-3.200000E-1	1.526126E-5	-4.769144E-5
70	 	-3.100000E-1	1.919805E-5	-6.192919E-5
71	 	-3.000000E-1	2.318929E-5	-7.729763E-5
72	 	-2.900000E-1	2.688344E-5	-9.270152E-5
73	 	-2.800000E-1	3.048978E-5	-1.088921E-4
74	 	-2.700000E-1	3.355222E-5	-1.242675E-4
75	 	-2.600000E-1	3.606244E-5	-1.387017E-4
76	 	-2.500000E-1	3.806221E-5	-1.522488E-4
77	 	-2.400000E-1	3.970215E-5	-1.654256E-4
78	 	-2.300000E-1	4.092385E-5	-1.779298E-4
79	 	-2.200000E-1	4.213300E-5	-1.915136E-4
80	 	-2.100000E-1	4.307845E-5	-2.051355E-4
81	 	-2.000000E-1	4.397378E-5	-2.198689E-4
82	 	-1.900000E-1	4.485235E-5	-2.360650E-4
83	 	-1.800000E-1	4.522879E-5	-2.512711E-4
84	 	-1.700000E-1	4.605727E-5	-2.709251E-4
85	 	-1.600000E-1	4.694410E-5	-2.934006E-4
86	 	-1.500000E-1	4.803609E-5	-3.202406E-4
87	 	-1.400000E-1	4.955472E-5	-3.539623E-4
88	 	-1.300000E-1	5.131614E-5	-3.947395E-4
89	 	-1.200000E-1	5.306481E-5	-4.422068E-4
90	 	-1.100000E-1	5.495172E-5	-4.995611E-4
91	 	-1.000000E-1	5.664193E-5	-5.664193E-4
92	 	-9.000000E-2	5.804340E-5	-6.449267E-4
93	 	-8.000000E-2	5.952860E-5	-7.441075E-4
94	 	-7.000000E-2	6.124382E-5	-8.749117E-4
95	 	-6.000000E-2	6.307627E-5	-1.051271E-3
96	 	-5.000000E-2	6.480001E-5	-1.296000E-3
97	 	-4.000000E-2	6.659896E-5	-1.664974E-3
98	 	-3.000000E-2	6.837698E-5	-2.279233E-3
99	 	-2.000000E-2	6.988309E-5	-3.494155E-3
100	 	-1.000000E-2	7.148134E-5	-7.148134E-3
101	 	7.528700E-16	7.294980E-5	9.689561E+10
102	 	1.000000E-2	7.423430E-5	7.423430E-3
103	 	2.000000E-2	7.529262E-5	3.764631E-3
104	 	3.000000E-2	7.620473E-5	2.540158E-3
105	 	4.000000E-2	7.748081E-5	1.937020E-3
106	 	5.000000E-2	7.840104E-5	1.568021E-3
107	 	6.000000E-2	7.976503E-5	1.329417E-3
108	 	7.000000E-2	8.107030E-5	1.158147E-3
109	 	8.000000E-2	8.226268E-5	1.028283E-3
110	 	9.000000E-2	8.330843E-5	9.256492E-4
111	 	1.000000E-1	8.445076E-5	8.445076E-4
112	 	1.100000E-1	8.529580E-5	7.754164E-4
113	 	1.200000E-1	8.626215E-5	7.188512E-4
114	 	1.300000E-1	8.677683E-5	6.675141E-4
115	 	1.400000E-1	8.742103E-5	6.244359E-4
116	 	1.500000E-1	8.791054E-5	5.860703E-4
117	 	1.600000E-1	8.815731E-5	5.509832E-4
118	 	1.700000E-1	8.842102E-5	5.201236E-4
119	 	1.800000E-1	8.852971E-5	4.918317E-4
120	 	1.900000E-1	8.851307E-5	4.658583E-4
121	 	2.000000E-1	8.876393E-5	4.438196E-4
122	 	2.100000E-1	8.886452E-5	4.231644E-4
123	 	2.200000E-1	8.919073E-5	4.054124E-4
124	 	2.300000E-1	8.949211E-5	3.890961E-4
125	 	2.400000E-1	9.003172E-5	3.751322E-4
126	 	2.500000E-1	9.068433E-5	3.627373E-4
127	 	2.600000E-1	9.120310E-5	3.507812E-4
128	 	2.700000E-1	9.192685E-5	3.404698E-4
129	 	2.800000E-1	9.257530E-5	3.306261E-4
130	 	2.900000E-1	9.352088E-5	3.224858E-4
131	 	3.000000E-1	9.414845E-5	3.138282E-4
132	 	3.100000E-1	9.510657E-5	3.067954E-4
133	 	3.200000E-1	9.580510E-5	2.993909E-4
134	 	3.300000E-1	9.658335E-5	2.926768E-4
135	 	3.400000E-1	9.744084E-5	2.865907E-4
136	 	3.500000E-1	9.808521E-5	2.802435E-4
137	 	3.600000E-1	9.893451E-5	2.748181E-4
138	 	3.700000E-1	9.944917E-5	2.687815E-4
139	 	3.800000E-1	1.002650E-4	2.638553E-4
140	 	3.900000E-1	1.009845E-4	2.589346E-4
141	 	4.000000E-1	1.016956E-4	2.542390E-4
142	 	4.100000E-1	1.024404E-4	2.498546E-4
143	 	4.200000E-1	1.030554E-4	2.453700E-4
144	 	4.300000E-1	1.038085E-4	2.414151E-4
145	 	4.400000E-1	1.045155E-4	2.375352E-4
146	 	4.500000E-1	1.050342E-4	2.334093E-4
147	 	4.600000E-1	1.058251E-4	2.300546E-4
148	 	4.700000E-1	1.063186E-4	2.262098E-4
149	 	4.800000E-1	1.069547E-4	2.228223E-4
150	 	4.900000E-1	1.075612E-4	2.195127E-4
151	 	5.000000E-1	1.081134E-4	2.162268E-4
152	 	5.100000E-1	1.087327E-4	2.132014E-4
153	 	5.200000E-1	1.093225E-4	2.102356E-4
154	 	5.300000E-1	1.099627E-4	2.074768E-4
155	 	5.400000E-1	1.105985E-4	2.048120E-4
156	 	5.500000E-1	1.111758E-4	2.021378E-4
157	 	5.600000E-1	1.119583E-4	1.999255E-4
158	 	5.700000E-1	1.123557E-4	1.971153E-4
159	 	5.800000E-1	1.129832E-4	1.947986E-4
160	 	5.900000E-1	1.135354E-4	1.924329E-4
161	 	6.000000E-1	1.141838E-4	1.903063E-4
162	 	6.100000E-1	1.146232E-4	1.879069E-4
163	 	6.200000E-1	1.151839E-4	1.857805E-4
164	 	6.300000E-1	1.154054E-4	1.831832E-4
165	 	6.400000E-1	1.159494E-4	1.811709E-4
166	 	6.500000E-1	1.164220E-4	1.791108E-4
167	 	6.600000E-1	1.170999E-4	1.774241E-4
168	 	6.700000E-1	1.175895E-4	1.755067E-4
169	 	6.800000E-1	1.181418E-4	1.737379E-4
170	 	6.900000E-1	1.187733E-4	1.721352E-4
171	 	7.000000E-1	1.193802E-4	1.705431E-4
172	 	7.100000E-1	1.201582E-4	1.692369E-4
173	 	7.200000E-1	1.209573E-4	1.679962E-4
174	 	7.300000E-1	1.218066E-4	1.668584E-4
175	 	7.400000E-1	1.228191E-4	1.659718E-4
176	 	7.500000E-1	1.238439E-4	1.651252E-4
177	 	7.600000E-1	1.251701E-4	1.646975E-4
178	 	7.700000E-1	1.265509E-4	1.643518E-4
179	 	7.800000E-1	1.280194E-4	1.641274E-4
180	 	7.900000E-1	1.296635E-4	1.641310E-4
181	 	8.000000E-1	1.314038E-4	1.642547E-4
182	 	8.100000E-1	1.336671E-4	1.650211E-4
183	 	8.200000E-1	1.357214E-4	1.655139E-4
184	 	8.300000E-1	1.380432E-4	1.663171E-4
185	 	8.400000E-1	1.405325E-4	1.673006E-4
186	 	8.500000E-1	1.430681E-4	1.683154E-4
187	 	8.600000E-1	1.459965E-4	1.697634E-4
188	 	8.700000E-1	1.490671E-4	1.713415E-4
189	 	8.800000E-1	1.523892E-4	1.731695E-4
190	 	8.900000E-1	1.560330E-4	1.753180E-4
191	 	9.000000E-1	1.596562E-4	1.773958E-4
192	 	9.100000E-1	1.636056E-4	1.797864E-4
193	 	9.200000E-1	1.677639E-4	1.823521E-4
194	 	9.300000E-1	1.722951E-4	1.852635E-4
195	 	9.400000E-1	1.771397E-4	1.884465E-4
196	 	9.500000E-1	1.819255E-4	1.915005E-4
197	 	9.600000E-1	1.873184E-4	1.951233E-4
198	 	9.700000E-1	1.928703E-4	1.988354E-4
199	 	9.800000E-1	1.987147E-4	2.027701E-4
200	 	9.900000E-1	2.049067E-4	2.069765E-4
201	 	9.800000E-1	1.976438E-4	2.016773E-4
202	 	9.700000E-1	1.918705E-4	1.978046E-4
203	 	9.600000E-1	1.866032E-4	1.943783E-4
204	 	9.500000E-1	1.822898E-4	1.918840E-4
205	 	9.400000E-1	1.783572E-4	1.897417E-4
206	 	9.300000E-1	1.748679E-4	1.880300E-4
