Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-5.000000E+0	-8.608290E-2	1.721658E-2
2	 	-4.950000E+0	-8.472952E-2	1.711707E-2
3	 	-4.900000E+0	-8.451074E-2	1.724709E-2
4	 	-4.850000E+0	-8.387050E-2	1.729289E-2
5	 	-4.800000E+0	-8.518636E-2	1.774716E-2
6	 	-4.750000E+0	-8.685090E-2	1.828440E-2
7	 	-4.700000E+0	-8.544497E-2	1.817978E-2
8	 	-4.650000E+0	-8.382713E-2	1.802734E-2
9	 	-4.600000E+0	-8.202074E-2	1.783060E-2
10	 	-4.550000E+0	-8.075725E-2	1.774885E-2
11	 	-4.500000E+0	-7.873887E-2	1.749753E-2
12	 	-4.450000E+0	-7.683660E-2	1.726665E-2
13	 	-4.400000E+0	-7.503801E-2	1.705409E-2
14	 	-4.350000E+0	-7.245874E-2	1.665718E-2
15	 	-4.300000E+0	-7.096779E-2	1.650414E-2
16	 	-4.250000E+0	-6.970732E-2	1.640172E-2
17	 	-4.200000E+0	-6.808389E-2	1.621045E-2
18	 	-4.150000E+0	-6.668145E-2	1.606782E-2
19	 	-4.100000E+0	-6.520278E-2	1.590312E-2
20	 	-4.050000E+0	-6.384311E-2	1.576373E-2
21	 	-4.000000E+0	-6.248011E-2	1.562003E-2
22	 	-3.950000E+0	-6.103047E-2	1.545075E-2
23	 	-3.900000E+0	-5.948982E-2	1.525380E-2
24	 	-3.850000E+0	-5.792516E-2	1.504550E-2
25	 	-3.800000E+0	-5.681776E-2	1.495204E-2
26	 	-3.750000E+0	-5.526563E-2	1.473750E-2
27	 	-3.700000E+0	-5.405527E-2	1.460953E-2
28	 	-3.650000E+0	-5.295694E-2	1.450875E-2
29	 	-3.600000E+0	-5.138920E-2	1.427478E-2
30	 	-3.550000E+0	-4.977281E-2	1.402051E-2
31	 	-3.500000E+0	-4.786389E-2	1.367540E-2
32	 	-3.450000E+0	-4.611530E-2	1.336675E-2
33	 	-3.400000E+0	-4.458426E-2	1.311302E-2
34	 	-3.350000E+0	-4.310011E-2	1.286570E-2
35	 	-3.300000E+0	-4.157399E-2	1.259818E-2
36	 	-3.250000E+0	-4.017346E-2	1.236106E-2
37	 	-3.200000E+0	-3.890935E-2	1.215917E-2
38	 	-3.150000E+0	-3.793510E-2	1.204289E-2
39	 	-3.100000E+0	-3.688304E-2	1.189775E-2
40	 	-3.050000E+0	-3.584584E-2	1.175273E-2
41	 	-3.000000E+0	-3.480665E-2	1.160222E-2
42	 	-2.950000E+0	-3.403180E-2	1.153620E-2
43	 	-2.900000E+0	-3.361804E-2	1.159243E-2
44	 	-2.850000E+0	-3.343118E-2	1.173024E-2
45	 	-2.800000E+0	-3.326920E-2	1.188186E-2
46	 	-2.750000E+0	-3.301673E-2	1.200608E-2
47	 	-2.700000E+0	-3.237716E-2	1.199154E-2
48	 	-2.650000E+0	-3.159555E-2	1.192285E-2
49	 	-2.600000E+0	-3.003170E-2	1.155065E-2
50	 	-2.550000E+0	-2.942905E-2	1.154080E-2
51	 	-2.500000E+0	-2.681042E-2	1.072417E-2
52	 	-2.450000E+0	-2.501827E-2	1.021154E-2
53	 	-2.400000E+0	-2.372785E-2	9.886604E-3
54	 	-2.350000E+0	-2.258221E-2	9.609451E-3
55	 	-2.300000E+0	-2.160625E-2	9.394022E-3
56	 	-2.250000E+0	-2.077335E-2	9.232600E-3
57	 	-2.200000E+0	-1.997219E-2	9.078268E-3
58	 	-2.150000E+0	-1.915010E-2	8.907023E-3
59	 	-2.100000E+0	-1.815681E-2	8.646100E-3
60	 	-2.050000E+0	-1.688043E-2	8.234356E-3
61	 	-2.000000E+0	-1.545549E-2	7.727745E-3
62	 	-1.950000E+0	-1.411059E-2	7.236200E-3
63	 	-1.900000E+0	-1.294857E-2	6.815037E-3
64	 	-1.850000E+0	-1.203190E-2	6.503730E-3
65	 	-1.800000E+0	-1.127591E-2	6.264394E-3
66	 	-1.750000E+0	-1.056564E-2	6.037509E-3
67	 	-1.700000E+0	-9.761657E-3	5.742151E-3
68	 	-1.650000E+0	-8.905737E-3	5.397416E-3
69	 	-1.600000E+0	-8.069762E-3	5.043601E-3
70	 	-1.550000E+0	-7.274237E-3	4.693056E-3
71	 	-1.500000E+0	-6.615910E-3	4.410607E-3
72	 	-1.450000E+0	-6.044682E-3	4.168746E-3
73	 	-1.400000E+0	-5.382955E-3	3.844968E-3
74	 	-1.350000E+0	-4.476374E-3	3.315833E-3
75	 	-1.300000E+0	-3.742358E-3	2.878737E-3
76	 	-1.250000E+0	-3.074120E-3	2.459296E-3
77	 	-1.200000E+0	-2.464148E-3	2.053457E-3
78	 	-1.150000E+0	-1.952527E-3	1.697850E-3
79	 	-1.100000E+0	-1.513236E-3	1.375669E-3
80	 	-1.050000E+0	-1.152603E-3	1.097717E-3
81	 	-1.000000E+0	-9.041856E-4	9.041856E-4
82	 	-9.500000E-1	-8.962487E-4	9.434197E-4
83	 	-9.000000E-1	-6.683256E-4	7.425840E-4
