Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-4.913276E-4	4.913276E-4
2	 	-9.900000E-1	-4.763037E-4	4.811148E-4
3	 	-9.800000E-1	-4.616770E-4	4.710990E-4
4	 	-9.700000E-1	-4.485071E-4	4.623785E-4
5	 	-9.600000E-1	-4.361860E-4	4.543604E-4
6	 	-9.500000E-1	-4.249602E-4	4.473265E-4
7	 	-9.400000E-1	-4.136060E-4	4.400064E-4
8	 	-9.300000E-1	-4.015108E-4	4.317320E-4
9	 	-9.200000E-1	-3.922814E-4	4.263928E-4
10	 	-9.100000E-1	-3.827293E-4	4.205816E-4
11	 	-9.000000E-1	-3.738934E-4	4.154371E-4
12	 	-8.900000E-1	-3.649654E-4	4.100735E-4
13	 	-8.800000E-1	-3.560424E-4	4.045936E-4
14	 	-8.700000E-1	-3.479798E-4	3.999768E-4
15	 	-8.600000E-1	-3.395075E-4	3.947762E-4
16	 	-8.500000E-1	-3.311188E-4	3.895515E-4
17	 	-8.400000E-1	-3.231952E-4	3.847562E-4
18	 	-8.300000E-1	-3.160164E-4	3.807427E-4
19	 	-8.200000E-1	-3.092799E-4	3.771706E-4
20	 	-8.100000E-1	-3.021011E-4	3.729643E-4
21	 	-8.000000E-1	-2.949926E-4	3.687408E-4
22	 	-7.900000E-1	-2.878090E-4	3.643152E-4
23	 	-7.800000E-1	-2.810899E-4	3.603717E-4
24	 	-7.700000E-1	-2.742286E-4	3.561410E-4
25	 	-7.600000E-1	-2.674134E-4	3.518597E-4
26	 	-7.500000E-1	-2.610249E-4	3.480332E-4
27	 	-7.400000E-1	-2.553011E-4	3.450015E-4
28	 	-7.300000E-1	-2.489336E-4	3.410049E-4
29	 	-7.200000E-1	-2.423405E-4	3.365840E-4
30	 	-7.100000E-1	-2.362442E-4	3.327383E-4
31	 	-7.000000E-1	-2.299814E-4	3.285449E-4
32	 	-6.900000E-1	-2.236054E-4	3.240658E-4
33	 	-6.800000E-1	-2.173753E-4	3.196696E-4
34	 	-6.700000E-1	-2.105104E-4	3.141946E-4
35	 	-6.600000E-1	-2.038122E-4	3.088064E-4
36	 	-6.500000E-1	-1.971305E-4	3.032777E-4
37	 	-6.400000E-1	-1.903321E-4	2.973939E-4
38	 	-6.300000E-1	-1.829603E-4	2.904132E-4
39	 	-6.200000E-1	-1.761574E-4	2.841248E-4
40	 	-6.100000E-1	-1.697354E-4	2.782548E-4
41	 	-6.000000E-1	-1.632256E-4	2.720427E-4
42	 	-5.900000E-1	-1.569458E-4	2.660098E-4
43	 	-5.800000E-1	-1.505863E-4	2.596316E-4
44	 	-5.700000E-1	-1.444281E-4	2.533826E-4
45	 	-5.600000E-1	-1.383405E-4	2.470366E-4
46	 	-5.500000E-1	-1.321863E-4	2.403387E-4
47	 	-5.400000E-1	-1.271072E-4	2.353837E-4
48	 	-5.300000E-1	-1.210198E-4	2.283392E-4
49	 	-5.200000E-1	-1.153551E-4	2.218367E-4
50	 	-5.100000E-1	-1.093932E-4	2.144965E-4
51	 	-5.000000E-1	-1.038037E-4	2.076074E-4
52	 	-4.900000E-1	-9.841496E-5	2.008469E-4
53	 	-4.800000E-1	-9.278793E-5	1.933082E-4
54	 	-4.700000E-1	-8.749549E-5	1.861606E-4
55	 	-4.600000E-1	-8.218208E-5	1.786567E-4
56	 	-4.500000E-1	-7.693149E-5	1.709589E-4
57	 	-4.400000E-1	-7.154288E-5	1.625975E-4
58	 	-4.300000E-1	-6.607045E-5	1.536522E-4
59	 	-4.200000E-1	-6.028436E-5	1.435342E-4
60	 	-4.100000E-1	-5.428484E-5	1.324020E-4
61	 	-4.000000E-1	-4.788789E-5	1.197197E-4
62	 	-3.900000E-1	-4.147844E-5	1.063550E-4
63	 	-3.800000E-1	-3.529487E-5	9.288124E-5
64	 	-3.700000E-1	-2.903595E-5	7.847554E-5
65	 	-3.600000E-1	-2.264319E-5	6.289775E-5
66	 	-3.500000E-1	-1.583206E-5	4.523446E-5
67	 	-3.400000E-1	-8.903770E-6	2.618756E-5
68	 	-3.300000E-1	-2.008956E-6	6.087745E-6
69	 	-3.200000E-1	4.914720E-6	-1.535850E-5
70	 	-3.100000E-1	1.142416E-5	-3.685213E-5
71	 	-3.000000E-1	1.745250E-5	-5.817500E-5
72	 	-2.900000E-1	2.313784E-5	-7.978566E-5
73	 	-2.800000E-1	2.839645E-5	-1.014159E-4
74	 	-2.700000E-1	3.349610E-5	-1.240596E-4
75	 	-2.600000E-1	3.794727E-5	-1.459510E-4
76	 	-2.500000E-1	4.233991E-5	-1.693596E-4
77	 	-2.400000E-1	4.652336E-5	-1.938473E-4
78	 	-2.300000E-1	5.028430E-5	-2.186274E-4
79	 	-2.200000E-1	5.406190E-5	-2.457359E-4
80	 	-2.100000E-1	5.759276E-5	-2.742512E-4
81	 	-2.000000E-1	6.100653E-5	-3.050327E-4
82	 	-1.900000E-1	6.382191E-5	-3.359048E-4
83	 	-1.800000E-1	6.655375E-5	-3.697431E-4
84	 	-1.700000E-1	6.902619E-5	-4.060364E-4
85	 	-1.600000E-1	7.100913E-5	-4.438071E-4
86	 	-1.500000E-1	7.297957E-5	-4.865305E-4
87	 	-1.400000E-1	7.473648E-5	-5.338320E-4
88	 	-1.300000E-1	7.640577E-5	-5.877367E-4
89	 	-1.200000E-1	7.822143E-5	-6.518453E-4
90	 	-1.100000E-1	8.004119E-5	-7.276472E-4
91	 	-1.000000E-1	8.152622E-5	-8.152622E-4
92	 	-9.000000E-2	8.318303E-5	-9.242559E-4
93	 	-8.000000E-2	8.482705E-5	-1.060338E-3
94	 	-7.000000E-2	8.632900E-5	-1.233271E-3
95	 	-6.000000E-2	8.786852E-5	-1.464475E-3
96	 	-5.000000E-2	8.940374E-5	-1.788075E-3
97	 	-4.000000E-2	9.077168E-5	-2.269292E-3
98	 	-3.000000E-2	9.229028E-5	-3.076343E-3
99	 	-2.000000E-2	9.372526E-5	-4.686263E-3
100	 	-1.000000E-2	9.500538E-5	-9.500538E-3
101	 	7.528700E-16	9.630644E-5	1.279191E+11
102	 	1.000000E-2	9.780416E-5	9.780416E-3
103	 	2.000000E-2	9.884159E-5	4.942079E-3
104	 	3.000000E-2	9.997540E-5	3.332513E-3
105	 	4.000000E-2	1.006279E-4	2.515697E-3
106	 	5.000000E-2	1.016363E-4	2.032726E-3
107	 	6.000000E-2	1.027323E-4	1.712205E-3
108	 	7.000000E-2	1.039916E-4	1.485594E-3
109	 	8.000000E-2	1.051211E-4	1.314014E-3
110	 	9.000000E-2	1.062924E-4	1.181027E-3
111	 	1.000000E-1	1.074261E-4	1.074261E-3
112	 	1.100000E-1	1.085765E-4	9.870591E-4
113	 	1.200000E-1	1.098943E-4	9.157858E-4
114	 	1.300000E-1	1.110111E-4	8.539315E-4
115	 	1.400000E-1	1.124127E-4	8.029479E-4
116	 	1.500000E-1	1.137557E-4	7.583713E-4
117	 	1.600000E-1	1.151905E-4	7.199406E-4
118	 	1.700000E-1	1.166423E-4	6.861312E-4
119	 	1.800000E-1	1.178931E-4	6.549617E-4
120	 	1.900000E-1	1.194242E-4	6.285484E-4
121	 	2.000000E-1	1.207881E-4	6.039405E-4
122	 	2.100000E-1	1.220556E-4	5.812171E-4
123	 	2.200000E-1	1.236746E-4	5.621573E-4
124	 	2.300000E-1	1.252267E-4	5.444639E-4
125	 	2.400000E-1	1.267327E-4	5.280529E-4
126	 	2.500000E-1	1.283433E-4	5.133732E-4
127	 	2.600000E-1	1.300586E-4	5.002254E-4
128	 	2.700000E-1	1.318950E-4	4.885000E-4
129	 	2.800000E-1	1.336982E-4	4.774936E-4
130	 	2.900000E-1	1.354930E-4	4.672172E-4
131	 	3.000000E-1	1.372375E-4	4.574583E-4
132	 	3.100000E-1	1.390863E-4	4.486655E-4
133	 	3.200000E-1	1.411322E-4	4.410381E-4
134	 	3.300000E-1	1.430397E-4	4.334536E-4
135	 	3.400000E-1	1.451776E-4	4.269929E-4
136	 	3.500000E-1	1.472318E-4	4.206623E-4
137	 	3.600000E-1	1.493568E-4	4.148800E-4
138	 	3.700000E-1	1.515741E-4	4.096597E-4
139	 	3.800000E-1	1.537956E-4	4.047253E-4
140	 	3.900000E-1	1.560587E-4	4.001505E-4
141	 	4.000000E-1	1.583346E-4	3.958365E-4
142	 	4.100000E-1	1.606061E-4	3.917222E-4
143	 	4.200000E-1	1.630370E-4	3.881833E-4
144	 	4.300000E-1	1.655386E-4	3.849735E-4
145	 	4.400000E-1	1.680529E-4	3.819384E-4
146	 	4.500000E-1	1.707174E-4	3.793720E-4
147	 	4.600000E-1	1.734157E-4	3.769907E-4
148	 	4.700000E-1	1.760974E-4	3.746753E-4
149	 	4.800000E-1	1.789004E-4	3.727092E-4
150	 	4.900000E-1	1.818830E-4	3.711898E-4
151	 	5.000000E-1	1.847529E-4	3.695058E-4
152	 	5.100000E-1	1.878989E-4	3.684292E-4
153	 	5.200000E-1	1.909989E-4	3.673056E-4
154	 	5.300000E-1	1.942579E-4	3.665243E-4
155	 	5.400000E-1	1.973828E-4	3.655237E-4
156	 	5.500000E-1	2.006794E-4	3.648716E-4
157	 	5.600000E-1	2.036579E-4	3.636748E-4
158	 	5.700000E-1	2.065446E-4	3.623589E-4
159	 	5.800000E-1	2.095192E-4	3.612400E-4
160	 	5.900000E-1	2.121587E-4	3.595910E-4
161	 	6.000000E-1	2.145057E-4	3.575095E-4
162	 	6.100000E-1	2.165555E-4	3.550090E-4
163	 	6.200000E-1	2.182415E-4	3.520024E-4
164	 	6.300000E-1	2.199862E-4	3.491844E-4
165	 	6.400000E-1	2.217181E-4	3.464345E-4
166	 	6.500000E-1	2.237973E-4	3.443035E-4
167	 	6.600000E-1	2.263577E-4	3.429662E-4
168	 	6.700000E-1	2.293735E-4	3.423485E-4
169	 	6.800000E-1	2.331930E-4	3.429309E-4
170	 	6.900000E-1	2.370755E-4	3.435877E-4
171	 	7.000000E-1	2.416859E-4	3.452656E-4
172	 	7.100000E-1	2.468523E-4	3.476793E-4
173	 	7.200000E-1	2.522487E-4	3.503454E-4
174	 	7.300000E-1	2.580055E-4	3.534322E-4
175	 	7.400000E-1	2.637824E-4	3.564627E-4
176	 	7.500000E-1	2.702414E-4	3.603219E-4
177	 	7.600000E-1	2.768351E-4	3.642567E-4
178	 	7.700000E-1	2.836210E-4	3.683390E-4
179	 	7.800000E-1	2.906530E-4	3.726321E-4
180	 	7.900000E-1	2.978361E-4	3.770077E-4
181	 	8.000000E-1	3.052533E-4	3.815666E-4
182	 	8.100000E-1	3.129259E-4	3.863283E-4
183	 	8.200000E-1	3.206778E-4	3.910705E-4
184	 	8.300000E-1	3.286467E-4	3.959599E-4
185	 	8.400000E-1	3.371061E-4	4.013168E-4
186	 	8.500000E-1	3.455903E-4	4.065768E-4
187	 	8.600000E-1	3.543713E-4	4.120597E-4
188	 	8.700000E-1	3.633568E-4	4.176515E-4
189	 	8.800000E-1	3.727032E-4	4.235264E-4
190	 	8.900000E-1	3.823542E-4	4.296115E-4
191	 	9.000000E-1	3.924568E-4	4.360631E-4
192	 	9.100000E-1	4.031960E-4	4.430725E-4
193	 	9.200000E-1	4.153491E-4	4.514664E-4
194	 	9.300000E-1	4.284355E-4	4.606833E-4
195	 	9.400000E-1	4.437214E-4	4.720440E-4
196	 	9.500000E-1	4.607516E-4	4.850017E-4
197	 	9.600000E-1	4.794061E-4	4.993814E-4
198	 	9.700000E-1	4.996170E-4	5.150691E-4
199	 	9.800000E-1	5.204588E-4	5.310804E-4
200	 	9.900000E-1	5.418607E-4	5.473340E-4
201	 	9.800000E-1	5.340459E-4	5.449448E-4
202	 	9.700000E-1	5.243190E-4	5.405351E-4
203	 	9.600000E-1	5.134680E-4	5.348625E-4
204	 	9.500000E-1	5.015534E-4	5.279509E-4
205	 	9.400000E-1	4.894172E-4	5.206566E-4
206	 	9.300000E-1	4.766076E-4	5.124813E-4
207	 	9.200000E-1	4.637682E-4	5.040959E-4
208	 	9.100000E-1	4.507620E-4	4.953429E-4
209	 	9.000000E-1	4.377930E-4	4.864367E-4
210	 	8.900000E-1	4.248456E-4	4.773546E-4
211	 	8.800000E-1	4.116928E-4	4.678327E-4
212	 	8.700000E-1	3.988075E-4	4.583994E-4
213	 	8.600000E-1	3.860942E-4	4.489467E-4
214	 	8.500000E-1	3.737024E-4	4.396499E-4
215	 	8.400000E-1	3.612406E-4	4.300483E-4
216	 	8.300000E-1	3.489198E-4	4.203853E-4
217	 	8.200000E-1	3.369176E-4	4.108751E-4
218	 	8.100000E-1	3.250868E-4	4.013417E-4
219	 	8.000000E-1	3.135782E-4	3.919727E-4
220	 	7.900000E-1	3.024378E-4	3.828327E-4
221	 	7.800000E-1	2.916525E-4	3.739135E-4
222	 	7.700000E-1	2.809223E-4	3.648342E-4
223	 	7.600000E-1	2.710407E-4	3.566325E-4
224	 	7.500000E-1	2.612809E-4	3.483745E-4
225	 	7.400000E-1	2.514160E-4	3.397514E-4
226	 	7.300000E-1	2.423630E-4	3.320041E-4
227	 	7.200000E-1	2.333142E-4	3.240475E-4
228	 	7.100000E-1	2.247675E-4	3.165739E-4
229	 	7.000000E-1	2.163212E-4	3.090303E-4
230	 	6.900000E-1	2.090041E-4	3.029045E-4
231	 	6.800000E-1	2.013110E-4	2.960456E-4
232	 	6.700000E-1	1.938602E-4	2.893436E-4
233	 	6.600000E-1	1.869575E-4	2.832689E-4
234	 	6.500000E-1	1.799000E-4	2.767692E-4
235	 	6.400000E-1	1.733949E-4	2.709295E-4
236	 	6.300000E-1	1.671030E-4	2.652429E-4
237	 	6.200000E-1	1.613256E-4	2.602026E-4
238	 	6.100000E-1	1.556151E-4	2.551067E-4
239	 	6.000000E-1	1.500972E-4	2.501620E-4
240	 	5.900000E-1	1.448262E-4	2.454681E-4
241	 	5.800000E-1	1.394797E-4	2.404822E-4
242	 	5.700000E-1	1.342837E-4	2.355854E-4
243	 	5.600000E-1	1.293932E-4	2.310593E-4
244	 	5.500000E-1	1.247539E-4	2.268253E-4
245	 	5.400000E-1	1.201060E-4	2.224185E-4
246	 	5.300000E-1	1.158558E-4	2.185958E-4
247	 	5.200000E-1	1.116722E-4	2.147542E-4
248	 	5.100000E-1	1.074928E-4	2.107702E-4
249	 	5.000000E-1	1.028868E-4	2.057736E-4
250	 	4.900000E-1	9.857379E-5	2.011710E-4
251	 	4.800000E-1	9.412686E-5	1.960976E-4
252	 	4.700000E-1	8.998090E-5	1.914487E-4
253	 	4.600000E-1	8.602348E-5	1.870076E-4
254	 	4.500000E-1	8.159739E-5	1.813275E-4
255	 	4.400000E-1	7.815855E-5	1.776331E-4
256	 	4.300000E-1	7.469882E-5	1.737182E-4
257	 	4.200000E-1	7.200056E-5	1.714299E-4
258	 	4.100000E-1	6.964522E-5	1.698664E-4
259	 	4.000000E-1	6.819348E-5	1.704837E-4
260	 	3.900000E-1	6.567520E-5	1.683979E-4
261	 	3.800000E-1	6.489702E-5	1.707816E-4
262	 	3.700000E-1	6.488024E-5	1.753520E-4
263	 	3.600000E-1	6.365024E-5	1.768062E-4
264	 	3.500000E-1	6.124067E-5	1.749733E-4
265	 	3.400000E-1	5.716179E-5	1.681229E-4
266	 	3.300000E-1	5.186974E-5	1.571810E-4
267	 	3.200000E-1	4.644800E-5	1.451500E-4
268	 	3.100000E-1	4.122290E-5	1.329771E-4
269	 	3.000000E-1	3.617346E-5	1.205782E-4
270	 	2.900000E-1	3.124950E-5	1.077569E-4
271	 	2.800000E-1	2.689456E-5	9.605200E-5
272	 	2.700000E-1	2.270693E-5	8.409974E-5
273	 	2.600000E-1	1.907568E-5	7.336800E-5
274	 	2.500000E-1	1.574564E-5	6.298256E-5
275	 	2.400000E-1	1.290930E-5	5.378875E-5
276	 	2.300000E-1	1.008547E-5	4.384987E-5
277	 	2.200000E-1	7.688325E-6	3.494693E-5
278	 	2.100000E-1	5.592435E-6	2.663064E-5
279	 	2.000000E-1	3.521619E-6	1.760809E-5
280	 	1.900000E-1	1.471726E-6	7.745926E-6
281	 	1.800000E-1	-1.347153E-7	-7.484183E-7
282	 	1.700000E-1	-1.883442E-6	-1.107907E-5
283	 	1.600000E-1	-3.745209E-6	-2.340756E-5
284	 	1.500000E-1	-5.569321E-6	-3.712881E-5
285	 	1.400000E-1	-7.527306E-6	-5.376647E-5
286	 	1.300000E-1	-9.564797E-6	-7.357536E-5
287	 	1.200000E-1	-1.166502E-5	-9.720850E-5
288	 	1.100000E-1	-1.378617E-5	-1.253288E-4
289	 	1.000000E-1	-1.579438E-5	-1.579438E-4
290	 	9.000000E-2	-1.787370E-5	-1.985967E-4
291	 	8.000000E-2	-1.974800E-5	-2.468500E-4
292	 	7.000000E-2	-2.166417E-5	-3.094881E-4
293	 	6.000000E-2	-2.334605E-5	-3.891008E-4
294	 	5.000000E-2	-2.497350E-5	-4.994700E-4
295	 	4.000000E-2	-2.666794E-5	-6.666985E-4
296	 	3.000000E-2	-2.844182E-5	-9.480607E-4
297	 	2.000000E-2	-2.991453E-5	-1.495726E-3
298	 	1.000000E-2	-3.155871E-5	-3.155871E-3
299	 	6.904199E-16	-3.310671E-5	-4.795156E+10
300	 	-1.000000E-2	-3.467558E-5	3.467558E-3
301	 	-2.000000E-2	-3.614407E-5	1.807204E-3
302	 	-3.000000E-2	-3.778829E-5	1.259610E-3
303	 	-4.000000E-2	-3.956636E-5	9.891590E-4
304	 	-5.000000E-2	-4.148255E-5	8.296510E-4
305	 	-6.000000E-2	-4.352839E-5	7.254732E-4
306	 	-7.000000E-2	-4.566625E-5	6.523750E-4
307	 	-8.000000E-2	-4.785441E-5	5.981801E-4
308	 	-9.000000E-2	-5.026838E-5	5.585376E-4
309	 	-1.000000E-1	-5.262377E-5	5.262377E-4
310	 	-1.100000E-1	-5.500438E-5	5.000398E-4
311	 	-1.200000E-1	-5.730547E-5	4.775456E-4
312	 	-1.300000E-1	-5.971526E-5	4.593482E-4
313	 	-1.400000E-1	-6.216271E-5	4.440194E-4
314	 	-1.500000E-1	-6.434242E-5	4.289495E-4
315	 	-1.600000E-1	-6.612897E-5	4.133061E-4
316	 	-1.700000E-1	-6.830029E-5	4.017664E-4
